,creator_name,creator_id,backers_count,blurb,is_starred,category.id,category.name,category.parent_id,category.slug,country,currency,goal,spotlight,staff_pick,state,usd_pledged,usd_type,state_num,launched_at_hr,launched_at_day_in_week,launched_at_day_in_month,launched_at_mo,launched_at_yr,deadline_hr,deadline_day_in_week,deadline_day_in_month,deadline_mo,deadline_yr,created_at_hr,created_at_day_in_week,created_at_day_in_month,created_at_mo,created_at_yr,count,success,launched-created,deadline-launched,pledge_perc
494,Cristine Kelly,2082054602,22,Before I Die is an interactive art project that aims to connect people by having them share their hopes and dreams in a public space.,False,53,Public Art,1.0,art,US,USD,1200.0,False,False,failed,898.34,international,0,4,6,12,1,2013,4,7,27,1,2013,1,3,2,1,2013,1,False,10,15,74.86166666666666
495,Lantern Fish Media,1023411667,341,"HERD IN ICELAND, a documentary film that follows Iceland’s semi-wild horses across the country’s majestic landscape.",False,30,Documentary,11.0,film & video,US,USD,16500.0,True,True,successful,22195.0,international,1,24,1,25,6,2012,24,3,25,7,2012,20,1,11,6,2012,1,True,14,30,134.51515151515153
496,Erin Marie Keigher,317930882,28,"With your help Their Stories book will dissolve the 'single story'. 
A collection of inspirational stories from the people of Uganda.",False,45,Art Books,18.0,publishing,US,USD,6000.0,False,False,failed,2663.0,domestic,0,20,4,18,10,2012,21,5,23,11,2012,24,3,26,9,2012,1,False,21,36,44.38333333333333
497,GODSTEETH ILLUSTRATION,67809306,304,The Journey of Teddy and Marla is a fully illustrated children's book.  A lost girl befriends a kitten on her search to get back home.,False,22,Illustration,1.0,art,GB,GBP,4500.0,True,False,successful,16623.8338266,international,1,17,3,7,3,2018,16,3,4,4,2018,6,4,15,2,2018,1,True,20,27,369.41852948
498,Patrick Steele,268837772,70,"Honoring the abandoned house on John St with a limited run of tees and posters bearing the mantra that made it famous: Make Moves, Son!",False,27,Graphic Design,7.0,design,US,USD,500.0,True,False,successful,1317.69,domestic,1,7,1,20,2,2012,6,1,12,3,2012,1,3,4,1,2012,1,True,47,20,263.538
499,Jeff Dee,493611123,54,Practically all of the original artwork I did during my time at TSR was destroyed. We're bringing it back!,False,22,Illustration,1.0,art,US,USD,2500.0,True,False,successful,2635.0,international,1,18,5,6,1,2012,18,1,6,2,2012,22,2,3,1,2012,1,True,2,31,105.4
500,Susannah Tisue,391752170,110,Our limited-edition mug with our Caribou illustration surrounded by 100 hand painted stars in an indigo glaze sky,False,287,Ceramics,1.0,art,US,USD,4500.0,True,True,successful,7177.02,international,1,15,3,4,1,2017,15,5,3,2,2017,18,4,29,12,2016,1,True,5,30,159.48933333333335
501,Pelgrim Designs,161092365,1,"Art posters: Make/100 selection of ""World of Stamps"" art prints",False,276,Fine Art,15.0,photography,BE,EUR,1100.0,False,False,failed,1.22102806,international,0,9,2,16,1,2018,9,2,13,2,2018,11,5,29,12,2017,1,False,17,28,0.11100255090909092
502,Matt Nelson,86891268,72,The fourth collected volume of the adventures of a scurrilous pirate with a magical cat for a beard!,False,253,Webcomics,3.0,comics,US,USD,1000.0,True,False,successful,2388.0,international,1,24,1,30,5,2016,24,3,29,6,2016,16,6,28,5,2016,1,True,2,30,238.79999999999998
503,Kellen Pagel,527315156,117,Vitality Greens Superfood is a refreshing daily drink featuring 50 ingredients developed to rejuvenate your body from the inside out!,False,307,Drinks,10.0,food,US,USD,7500.0,True,False,successful,8281.0,international,1,21,3,3,1,2018,21,1,12,2,2018,20,5,8,12,2017,1,True,26,40,110.41333333333334
504,Huáscar Robles,1147599964,34,"Help fund Puertos príncipes, a book on Haiti as its strengthens through sound, dance and connecting with its ancestors.",False,359,Print,13.0,journalism,US,USD,5000.0,True,True,successful,5194.0,international,1,3,4,14,7,2016,3,6,13,8,2016,2,4,14,7,2016,1,True,0,30,103.88
505,Black Rock Disc Golf Club,726702662,0,Building a mushroom forest with some mushrooms reaching heights of thirty feet with a nine hole disc golf course,False,53,Public Art,1.0,art,US,USD,1500.0,False,False,failed,0.0,international,0,19,7,26,2,2012,18,2,27,3,2012,18,7,26,2,2012,1,False,0,29,0.0
506,Sharon M. Kerr,1496612941,1,"Helping People. Restoring Lives\r
Our goal is to seek vacant lots for creating urban gardening projects in rural/ city area of Jamaica",False,305,Community Gardens,10.0,food,US,USD,6000.0,False,False,failed,50.0,international,0,19,6,7,4,2018,19,1,7,5,2018,21,4,6,3,2014,1,False,1492,30,0.8333333333333334
508,Angella Reed,2029517457,0,"This is a small, at home business located in the heart of East Texas! All products made and distributed in e USA!",False,343,Candles,26.0,crafts,US,USD,800.0,False,False,failed,0.0,international,0,14,4,4,1,2018,17,4,18,1,2018,15,1,9,10,2017,1,False,86,14,0.0
509,IconaSys Inc.,1078288849,17,Software Controlled 360 Product Photography Software + Turntable. Easily create high quality 360 product views in <5 min. per product.,False,333,Camera Equipment,16.0,technology,US,USD,12500.0,False,False,failed,8715.0,international,0,18,4,6,11,2014,18,6,6,12,2014,1,3,5,11,2014,1,False,1,30,69.72
510,Guy Boyle,1134016110,26,"A beautiful artbook, prints & animation (Stretch reward: be the film Producer!) 30 mins to get the battle, Ragnarok into the book!",False,22,Illustration,1.0,art,GB,GBP,1000.0,True,False,successful,2275.1906255999997,international,1,18,2,12,2,2013,17,4,14,3,2013,16,3,21,11,2012,1,True,83,29,227.51906255999995
511,Freya Estreller,385252424,147,"Pre-packaged, all-natural cocktail Jelly Shots. No refrigeration required and ready-to-serve. Your party just got that much sweeter.",False,307,Drinks,10.0,food,US,USD,35000.0,True,False,successful,35142.0,international,1,20,4,17,7,2014,20,6,16,8,2014,18,1,16,6,2014,1,True,31,30,100.40571428571428
512,Danny North,1700499550,2,"An amazing southern themed restaurant with its root beer barrel and assorted lemonades, southern cooking and a smile to please.",False,312,Restaurants,10.0,food,US,USD,8000.0,False,False,failed,26.0,international,0,4,2,3,2,2015,4,4,5,3,2015,3,2,3,2,2015,1,False,0,30,0.325
514,Owzone Comics,28064272,45,An independent Comic company and website offering digital comics  for a mature audience.,False,253,Webcomics,3.0,comics,GB,GBP,750.0,True,False,successful,1217.47458681,international,1,18,6,24,1,2015,17,3,25,3,2015,17,6,24,1,2015,1,True,0,59,162.329944908
515,Chris Radcliff,1863990098,23,"Love the SpaceUp unconference? Get the t-shirt, and help make future SpaceUps happen. Proceeds will go to create the SpaceUp Foundation.",False,27,Graphic Design,7.0,design,US,USD,600.0,True,True,successful,735.0,domestic,1,19,1,30,8,2010,19,1,20,9,2010,19,1,30,8,2010,1,True,0,21,122.50000000000001
516,Ashley S. Benson,1645878693,206,An Enamel Pin Collection of Mythical Beasts with No Filter,False,22,Illustration,1.0,art,US,USD,650.0,True,False,successful,11668.0,international,1,8,1,1,10,2018,20,3,31,10,2018,7,4,16,8,2018,1,True,46,30,1795.0769230769233
518,Joey Daoud,1624241043,28,Bots High is a feature doc following multiple high school robotics teams build fighting robots to compete in the National BattleBots Championship.,False,30,Documentary,11.0,film & video,US,USD,9000.0,True,True,successful,9100.0,international,1,23,4,25,2,2010,18,7,18,4,2010,24,4,18,2,2010,1,True,6,51,101.11111111111111
519,Brendan Toller,654487791,216,A documentary on the life & times of Danny Fields- a pivotal figure in music and culture of the late 20th century...,False,30,Documentary,11.0,film & video,US,USD,20000.0,True,True,successful,21829.99,international,1,16,3,17,10,2012,6,7,18,11,2012,19,3,5,9,2012,1,True,41,31,109.14995
520,Albert Williams,1970681067,2,"ProjectGreenRight when completed, will provide an avenue to support the belief that all people have the right to nutritional equality.",False,305,Community Gardens,10.0,food,US,USD,3500.0,False,False,failed,2.0,international,0,13,2,25,11,2014,13,5,9,1,2015,17,3,29,10,2014,1,False,26,45,0.05714285714285715
521,Humphrey Family,2020858884,52,"The Zinover... A Cincinnati classic deep fried pizza turnover with hot gooey cheese, marinara sauce, and your choice of ingredients.",False,311,Food Trucks,10.0,food,US,USD,35000.0,False,False,failed,6230.0,domestic,0,18,4,14,8,2014,18,2,16,9,2014,1,3,2,5,2012,1,False,834,33,17.8
522,cindyyshaw,1007827797,37,Does the world need another mermaid pin? I hope so!,False,22,Illustration,1.0,art,US,USD,300.0,True,False,successful,636.0,international,1,19,7,28,1,2018,6,3,21,2,2018,21,3,17,1,2018,1,True,10,23,212.0
523,David Crosmer,1838546588,1,My name is David I specialize in crazy gourmet hotdogs tacos and sliders,False,311,Food Trucks,10.0,food,US,USD,10000.0,False,False,failed,1.0,domestic,0,13,4,6,11,2014,13,6,6,12,2014,24,1,14,7,2014,1,False,114,30,0.01
524,Kim Saar Richardson,1763058738,93,"Chicago's only magazine devoted to the local yarn arts scene. Knit and crochet patterns, spinning, events, articles, and interviews.",False,49,Periodicals,18.0,publishing,US,USD,5000.0,True,False,successful,5417.4,international,1,2,4,13,2,2014,1,6,15,3,2014,4,4,16,1,2014,1,True,27,29,108.348
525,Morrighan Corbel,538637602,84,"A collection of artwork based on Angela Carter's gothic horror anthology, 'The Bloody Chamber'.",False,22,Illustration,1.0,art,GB,GBP,540.0,True,False,successful,2329.06596057,international,1,12,3,4,4,2018,12,3,18,4,2018,21,1,19,3,2018,1,True,15,14,431.3085112166666
526,Dudley Foreman,873841431,6,Artisan Coffee Micro Roaster striving to provide Central Indiana with my creative roasting interpretation on great coffee.,False,311,Food Trucks,10.0,food,US,USD,17800.0,False,True,failed,297.0,domestic,0,6,5,15,5,2015,6,6,4,7,2015,23,7,16,3,2014,1,False,424,50,1.6685393258426968
528,Frozen Tundra,359175587,0,Mr. Pizzy & Breakneck The Mage Take the U.S by storm with there 2nd Tour,False,39,Hip-Hop,14.0,music,US,USD,200.0,False,False,failed,0.0,domestic,0,16,3,21,12,2011,6,5,27,1,2012,4,4,8,12,2011,1,False,13,36,0.0
529,Aaron Ray,2103673637,22,LIVE OUT LOUD is my debut album releasing 8.25.12 CHECK OUT MY VIDEO AND GOD BLESS!,False,39,Hip-Hop,14.0,music,US,USD,1000.0,True,False,successful,1020.0,domestic,1,22,2,24,7,2012,22,4,23,8,2012,3,5,9,3,2012,1,True,137,30,102.0
532,Infinity World,817280989,1,It will be social phenomenon where people meet without the boundaries of boarders. The player can be anything  he fanasty.,False,271,Live Games,12.0,games,CA,CAD,800000.0,False,False,failed,50.44453245,domestic,0,24,1,5,3,2018,23,5,4,5,2018,18,6,3,3,2018,1,False,2,59,0.0063055665562499995
533,This Frontier Needs Heroes,1129053850,207,"Help us to record our new album!  It's about saving whales, but it also addresses topics like dogs, farms, babies, history, vacations and space!",False,37,Country & Folk,14.0,music,US,USD,5000.0,True,False,successful,5455.99,international,1,2,4,18,2,2010,4,3,17,3,2010,4,5,29,1,2010,1,True,19,27,109.11979999999998
534,Übermut,862642456,55,"A socketed, MOD ready distortion/overdrive guitar pedal. Truly one pedal with limitless possibilities.",False,28,Product Design,7.0,design,US,USD,5500.0,True,False,successful,8248.0,international,1,19,5,20,12,2013,19,7,19,1,2014,18,3,27,11,2013,1,True,23,30,149.96363636363637
535,Kurt Quinn,1885543510,29,"The Bandrum transforms any banjo into an entirely new instrument, adding a subtle element of percussion to any composition.",False,37,Country & Folk,14.0,music,US,USD,28.0,True,False,successful,165.0,international,1,24,2,7,10,2014,21,7,30,11,2014,14,3,10,9,2014,1,True,27,53,589.2857142857143
537,Kate Muus,1875344854,35,A story about seeds and what happens when we sell them.,False,47,Fiction,18.0,publishing,US,USD,1000.0,True,False,successful,1645.0,international,1,23,2,3,12,2013,23,5,17,1,2014,4,1,25,11,2013,1,True,8,45,164.5
539,Ansley McDaniel,1794464771,5,"The SoKomics Expo is an event located in Bowling Green, KY, highlighting local talents of every variety!",False,251,Events,3.0,comics,US,USD,2500.0,False,False,failed,300.0,international,0,21,2,3,6,2014,21,6,2,8,2014,18,3,9,10,2013,1,False,237,60,12.0
540,Michael Rehm,475007949,10,A melding of strict poetic form and bathroom humor: haiku for number two!,False,50,Poetry,18.0,publishing,US,USD,5000.0,False,False,failed,1330.0,international,0,20,2,1,4,2014,20,5,16,5,2014,4,4,27,3,2014,1,False,5,45,26.6
541,Josh Savory,279796512,19,"A printed collection of poetry on the cultivation and (sometimes abrupt) finality of relationships, whether physical or abstract.",False,50,Poetry,18.0,publishing,US,USD,200.0,True,False,successful,512.0,international,1,5,2,5,5,2015,5,4,4,6,2015,3,2,5,5,2015,1,True,0,30,256.0
542,Joni Renee,119279326,19,"Lush accounts of intimate meals, autism, pastoral youth and discovery, loss, and more come together in this debut collection of poetry.",False,50,Poetry,18.0,publishing,US,USD,2000.0,True,False,successful,2080.0,international,1,2,1,6,3,2017,1,3,5,4,2017,23,7,5,3,2017,1,True,0,29,104.0
543,Tyler Glover,608804705,335,"This all-in-one toothbrush is complete with toothpaste, floss, mirror, and a protective cap.",False,28,Product Design,7.0,design,US,USD,12000.0,True,False,successful,14230.0,international,1,7,1,7,1,2013,7,6,16,2,2013,21,2,27,11,2012,1,True,40,40,118.58333333333333
544,Tom Hutchison,1016186425,423,Social Media Darlings! The Knights Templar in Hell! And the Babylon's 7th Angel Host Takes Flight!,False,250,Comic Books,3.0,comics,US,USD,5000.0,True,False,successful,26035.0,international,1,16,6,14,4,2018,4,3,16,5,2018,8,7,4,3,2018,1,True,41,31,520.6999999999999
545,Robert Libby,1442901571,81,These poems tell ideas I've learned while living on a small island.,False,50,Poetry,18.0,publishing,US,USD,3000.0,True,False,successful,3140.0,international,1,5,5,14,8,2015,17,5,11,9,2015,16,3,12,8,2015,1,True,1,28,104.66666666666666
546,Flypdeck Team (John Fuller),1235722527,386,"Flypdeck is the world's first electronic flipping action toy!  Throw combinations of Twisters, Corkscrews, and Flyps to land tricks!",False,271,Live Games,12.0,games,US,USD,24000.0,True,False,successful,25075.0,domestic,1,12,4,1,3,2018,11,6,31,3,2018,6,2,31,10,2017,1,True,121,29,104.47916666666666
547,Andrew Kaucher,1675861493,28,A collection of poems and illustrations about growing up and trying to understand your place in the universe.,False,50,Poetry,18.0,publishing,US,USD,800.0,True,False,successful,956.0,international,1,23,4,11,12,2014,23,5,2,1,2015,6,5,5,12,2014,1,True,6,22,119.5
548,Katherine Cadet,1146567892,2,This is a kick starter exclusive story on why I believe people do not worship a God.,False,249,Anthologies,3.0,comics,US,USD,50.0,False,False,failed,7.0,international,0,16,2,26,7,2016,16,5,5,8,2016,15,2,26,7,2016,1,False,0,10,14.000000000000002
549,Flux Foundation,253225839,214,Please help us fund the FLUX Foundation's 2012 Burning Man project 'Zoa' through your tax deductible donations.,False,25,Sculpture,1.0,art,US,USD,12000.0,True,False,successful,13241.0,international,1,19,2,3,4,2012,19,5,18,5,2012,19,6,24,3,2012,1,True,10,45,110.34166666666667
550,Philip Solo,1059540150,0,"I'm a Canadian hip-hop artist (look me up on Youtube) and it's my dream to record an amazing album, any help is appreciated.",False,39,Hip-Hop,14.0,music,CA,CAD,400.0,False,False,failed,0.0,domestic,0,3,4,20,2,2014,2,6,22,3,2014,19,3,12,2,2014,1,False,7,29,0.0
551,Andreas Eplov,1892861889,3,"Internal watercooling system for my Clevo P375sm-a, and maybe other models further down the road",False,52,Hardware,16.0,technology,DK,DKK,100.0,True,False,successful,18.4146402,domestic,1,18,3,17,12,2014,18,5,16,1,2015,20,4,11,12,2014,1,True,5,30,18.4146402
552,Jessica Jolia,1041087488,0,"In a perfect world, we'd all be able to share our gifts & talents. Join me on my musical journey, as I strive to share mine with you!",False,322,R&B,14.0,music,US,USD,15000.0,False,False,failed,0.0,international,0,4,2,25,7,2017,4,2,8,8,2017,2,2,25,7,2017,1,False,0,14,0.0
553,Jim Ramsdell,1981946260,40,Help complete the stunning and unique Our Shared Planet traveling environmental art exhibit for an expanded national tour in 2012!,False,25,Sculpture,1.0,art,US,USD,11500.0,False,False,failed,4056.0,international,0,1,1,15,8,2011,1,4,29,9,2011,18,4,16,6,2011,1,False,59,45,35.2695652173913
556,Trismac Walters,106540692,0,Trismac Break The Rules (Mixtape) April 28th,False,39,Hip-Hop,14.0,music,US,USD,275.0,False,False,failed,0.0,domestic,0,21,4,23,4,2015,11,1,27,4,2015,21,3,22,4,2015,1,False,0,3,0.0
557,Teresa Dawn Maddox,348828721,3,Raising funds to cover moldmaking fee and first casting run of my new Clockwork Bird sculpture.,False,25,Sculpture,1.0,art,US,USD,400.0,False,False,failed,31.0,international,0,21,2,17,6,2014,21,1,7,7,2014,20,2,17,6,2014,1,False,0,20,7.75
558,Nancy Nelson,768788456,61,"Diagnosed with Alzheimer's, and while still in the early stages, I decided to explore the disease through poetry. This is my story.",False,50,Poetry,18.0,publishing,US,USD,3500.0,True,True,successful,4281.0,international,1,24,4,19,6,2014,24,6,19,7,2014,20,4,15,5,2014,1,True,35,30,122.3142857142857
559,Benjamin Hennessey,2053011023,43,Getting the SCA Herald medallion completed.,False,271,Live Games,12.0,games,US,USD,440.0,True,False,successful,880.0,domestic,1,22,5,2,5,2014,22,5,30,5,2014,1,5,2,5,2014,1,True,0,27,200.0
560,Kenny Black,1856793128,1,My name is Kenny Black I'm a musician from Ohio who wants to do a month long tour.,False,321,Punk,14.0,music,US,USD,3000.0,False,False,failed,11.0,international,0,7,3,17,12,2014,7,5,16,1,2015,21,2,16,12,2014,1,False,0,30,0.36666666666666664
561,Stephanie Jeter,1430443540,61,This old-time string band needs funds to produce their album full of toe-tapping fiddle tunes and lively songs.,False,37,Country & Folk,14.0,music,US,USD,3100.0,True,False,successful,3195.0,international,1,12,4,27,3,2014,12,1,14,4,2014,24,3,19,3,2014,1,True,7,18,103.06451612903227
564,Chris McCamic,2073293325,6,"Created by Naquasia LeGrand, Anthony Roman, and Maurice Royal, The Unionizer is a hero for our unequal times.",False,250,Comic Books,3.0,comics,US,USD,10.0,True,False,successful,179.0,international,1,17,3,31,12,2014,17,5,30,1,2015,22,4,31,7,2014,1,True,152,30,1789.9999999999998
565,Mars Charter,156459074,3,"A small collection of 27 short poems written about Catholicism, love, veganism, grief, murder, and cannibalism.",False,50,Poetry,18.0,publishing,US,USD,250.0,False,False,failed,6.0,international,0,20,1,7,5,2018,20,7,3,6,2018,19,7,1,4,2018,1,False,36,27,2.4
566,James D Nason,1244582865,10,"BioMight is a Biological Animation Engine that offers 5,000+ biological components that you assemble to make custom 3D animations",False,342,Web,16.0,technology,US,USD,220000.0,False,False,failed,440.0,domestic,0,11,3,13,8,2014,11,5,3,10,2014,12,3,6,8,2014,1,False,6,51,0.2
567,Console Armor,2127012713,59,Wall Mount Your Gaming Console and choose a design that fits your gaming style! You play an active role in the design process! Game On!,False,270,Gaming Hardware,12.0,games,US,USD,10000.0,False,False,failed,3527.0,international,0,8,6,18,10,2014,5,2,18,11,2014,4,7,7,9,2014,1,False,41,30,35.27
568,luther knox,1830387715,7,The focus of Noir Magazine is a unique perspective of African American achievements past and present.,False,329,Zines,18.0,publishing,US,USD,35000.0,False,False,failed,292.0,international,0,2,3,7,2,2018,2,5,9,3,2018,19,1,27,11,2017,1,False,71,30,0.8342857142857143
569,Bobbie Penn,440890923,1,"Let's make History! 1st Transgender Hip-Hop/Pop Artist Penny Cent St. James. Help us finalize our Debut Single ""Twerkers Anonymous"".",False,39,Hip-Hop,14.0,music,US,USD,4000.0,False,False,failed,25.0,domestic,0,2,5,6,2,2015,2,7,8,3,2015,23,3,28,1,2015,1,False,8,30,0.625
570,Grain Audio,2096575920,610,"Incredible sounding, great looking speakers made from solid wood.  Portable Bluetooth, Headphones, Earbuds and Bookshelf Speakers.",False,28,Product Design,7.0,design,US,USD,120000.0,True,False,successful,155823.23,international,1,12,5,22,3,2013,12,1,6,5,2013,24,6,5,1,2013,1,True,75,45,129.8526916666667
571,Jack Roman,121404618,282,"The Ultimate Clicky Pen is made in the USA, smooth as silk, designed to last a lifetime and quite possibly, the perfect clicky pen.",False,28,Product Design,7.0,design,US,USD,5000.0,True,False,successful,30272.01,international,1,16,1,2,4,2012,16,3,2,5,2012,21,1,19,3,2012,1,True,13,30,605.4402
572,Wincenty Natchniony,1623463553,3,I want to make 10 000 wooden hearts and send them into the World. Why? Because I had such a dream and already.,False,25,Sculpture,1.0,art,DE,EUR,10000.0,False,False,failed,31.86675459,international,0,20,5,25,8,2017,20,7,24,9,2017,20,2,4,7,2017,1,False,52,30,0.31866754589999996
573,Candlemark & Gleam,524558525,15,The last Sky Ranger of the Extrahuman Union must fight to survive - and save his people - from a government that would destroy them.,False,47,Fiction,18.0,publishing,US,USD,350.0,True,False,successful,565.0,international,1,19,3,7,12,2011,20,5,6,1,2012,18,3,7,12,2011,1,True,0,30,161.42857142857144
575,Atellani,1466947622,930,"BRID is the most advanced Air Purifier yet! It eliminates Carbon Monoxide, Pollution, NOx, Formaldehyde, Mold Spores, Odors and more!",False,52,Hardware,16.0,technology,US,USD,90000.0,True,False,successful,446241.0,domestic,1,19,2,25,7,2017,19,6,23,9,2017,10,2,13,6,2017,1,True,42,60,495.8233333333333
576,Brady Salay,1387066258,40,"The awesome new lawn game for your summer party. Join me in having your friends ask, ""Did you bring Birdie Buckets?!""",False,271,Live Games,12.0,games,US,USD,3000.0,True,False,successful,4261.0,domestic,1,4,3,2,5,2018,4,5,1,6,2018,1,1,30,4,2018,1,True,2,29,142.03333333333333
578,New England Speculative Writers,101114842,93,Fourteen amazing stories by New England Sci-Fi & Fantasy authors. This anthology is a chance to showcase these unique & talented tales.,False,324,Anthologies,18.0,publishing,US,USD,1125.0,True,True,successful,1937.11,international,1,24,6,21,4,2018,24,3,20,6,2018,14,7,15,10,2017,1,True,188,60,172.18755555555555
579,Shaun Cheesman,2061726872,55,I'm trying to improve the lives of people with disabilities by developing more accessible digital products,False,342,Web,16.0,technology,GB,GBP,2500.0,True,False,successful,4320.04758272,domestic,1,11,2,13,1,2015,11,7,22,2,2015,11,1,10,11,2014,1,True,64,40,172.80190330879998
580,Andreas Haufe,314833193,2,Build your own Weed Farm with your friends while using VR Glasses and solve tricky problems to produce as much Buds as possible.,False,271,Live Games,12.0,games,DE,EUR,21000.0,False,False,failed,25.176783632,domestic,0,12,4,5,1,2017,7,5,3,2,2017,7,3,4,1,2017,1,False,1,28,0.11988944586666665
581,James Wylder,207527918,57,"An epic short-fiction anthology telling the story of a sci-fi universe tale by tale, from editor James Wylder.",False,324,Anthologies,18.0,publishing,US,USD,500.0,True,True,successful,1872.0,international,1,18,4,15,3,2018,3,2,17,4,2018,17,3,7,3,2018,1,True,8,32,374.40000000000003
583,ClockOS Team,1969365167,115,"Enjoy the rich, smooth sound of a vacuum tube amplifier. Connects via Bluetooth to your iPhone, Android device or direct aux inputs.",False,28,Product Design,7.0,design,US,USD,35000.0,True,False,successful,69399.0,international,1,6,3,21,11,2012,24,5,21,12,2012,17,1,29,10,2012,1,True,22,30,198.28285714285713
585,Crossroad Media Group,905113051,0,"Allan Moore, after becoming a Christian, decides to return to the family he left and rebuild his relationship with his daughter.",False,303,Television,11.0,film & video,US,USD,8000.0,False,False,failed,0.0,domestic,0,21,2,2,6,2015,21,4,2,7,2015,1,2,2,6,2015,1,False,0,30,0.0
586,GreeKalogerakis Georgios,2074813088,7,I have been invited by Venice Biennale 2017 via GAA -European Cultural Center- and fund-raising the amount of my participation.,False,25,Sculpture,1.0,art,GB,GBP,8000.0,False,False,failed,186.11647068,international,0,9,4,8,12,2016,9,5,27,1,2017,23,2,6,12,2016,1,False,1,50,2.3264558834999995
588,Greg S Sanon,1346717215,55,"Access workouts anytime, anywhere from Kickboxing, Boxing, Yoga, Pilates, and more! get early access & exclusive deals",False,342,Web,16.0,technology,US,USD,5000.0,True,False,successful,5000.0,domestic,1,17,3,17,1,2018,17,5,16,2,2018,20,1,15,1,2018,1,True,1,30,100.0
589,Erica Dallas,309857130,1,The most powerful relationship you will ever have is the relationship with YOURSELF. Learn more about the Transformation ME experience!,False,342,Web,16.0,technology,US,USD,700.0,False,False,failed,20.0,domestic,0,23,3,16,7,2014,23,7,3,8,2014,6,2,15,7,2014,1,False,1,18,2.857142857142857
590,Allen Michael Hines,1219352824,29,"3 weeks, 15 poems. Traveling with a Salvadoran anti-mining activist, I will finish a series of poems about resource extraction",False,50,Poetry,18.0,publishing,US,USD,2000.0,True,False,successful,2045.0,international,1,20,3,20,3,2013,17,5,19,4,2013,5,1,11,3,2013,1,True,9,29,102.25
591,Jeff Purser,1595165565,8,"TRUTH is an upcoming hip-hop artist from Western Uganda. An award-winning musician, he seeks funding for his first mix tape.",False,39,Hip-Hop,14.0,music,US,USD,300.0,True,False,successful,315.0,domestic,1,18,2,22,9,2015,18,3,7,10,2015,13,2,22,9,2015,1,True,0,15,105.0
594,Nils Bastian Brekken,469956809,1,Modern happy poetry book in the making.,False,50,Poetry,18.0,publishing,NO,NOK,22500.0,False,False,failed,0.58759645,international,0,19,7,27,3,2016,19,6,16,4,2016,21,4,24,3,2016,1,False,2,20,0.002611539777777778
595,Daniel McShan,380641742,120,"BRYX is an LEGO compatible, Arduino programmable Bluetooth Smart brick.",False,52,Hardware,16.0,technology,US,USD,100000.0,False,False,failed,9715.01,domestic,0,1,3,11,9,2013,1,5,11,10,2013,18,4,1,8,2013,1,False,40,30,9.71501
596,Chris & Colby Moyer,230786708,223,The Dockem is a unique new way to store your device... on the wall!  The possibilities are endless.  Even mount your iPad on the wall!,False,28,Product Design,7.0,design,US,USD,10000.0,True,False,successful,10129.0,international,1,5,1,10,1,2011,5,5,11,3,2011,3,5,7,1,2011,1,True,3,60,101.28999999999999
597,The TX Ladybugs,2004335469,28,"The TXLadyBugs June 2010 release of discovery disc EP/""First Rodeo"" proved to everyone involved that an official debut CD MUST be recorded & released!",False,37,Country & Folk,14.0,music,US,USD,10000.0,True,False,successful,10456.0,international,1,10,3,13,10,2010,11,7,12,12,2010,7,1,4,10,2010,1,True,9,60,104.56
598,BrandG,307112122,33,Limited Edition Hardbacks and Bear Polo Shirts help fund a professionally edited novel with professional cover art.,False,47,Fiction,18.0,publishing,US,USD,2000.0,True,False,successful,2274.0,international,1,4,6,30,4,2011,4,1,30,5,2011,20,5,29,4,2011,1,True,0,30,113.7
599,Nicholas Williams,604565266,96,"The ""Ears and Eyes"" Tour spans over 90 shows, 13 states in 5 months. Your kindness can help Whetherman stay afloat from coast to coast!",False,37,Country & Folk,14.0,music,US,USD,4000.0,True,False,successful,4071.0,international,1,12,4,17,5,2012,12,7,1,7,2012,2,3,7,3,2012,1,True,71,45,101.77499999999999
600,Letters To Abigail,1291673943,125,"We are reaching out to all of our friends, fans and first time listeners to raise funds for production of our debut album",False,37,Country & Folk,14.0,music,US,USD,15000.0,True,False,successful,15200.0,international,1,23,7,15,7,2012,2,3,29,8,2012,15,3,25,4,2012,1,True,81,44,101.33333333333334
601,Dakota Smith,392250543,1,"Combining robotics, and gaming, to change the way gamers interact with virtual reality.",False,270,Gaming Hardware,12.0,games,US,USD,50000.0,False,False,failed,25.0,international,0,10,3,21,1,2015,24,6,28,2,2015,5,6,17,1,2015,1,False,4,38,0.05
602,Nicola R. White,799734364,69,"In 1790s Ireland, a peasant girl seeks revenge against the English aristocrat who courted her then betrayed her and left her for dead.",False,250,Comic Books,3.0,comics,CA,CAD,2500.0,True,True,successful,2388.2575497,international,1,3,3,1,11,2017,4,5,1,12,2017,14,7,27,8,2017,1,True,65,30,95.53030198799999
603,Jamin Coller,461594981,119,Creating an amazing music experience for young musicians and families who can't create it for themselves: Young Musicians Association,False,319,Kids,14.0,music,US,USD,7500.0,True,False,successful,7713.0,international,1,8,2,29,3,2016,7,3,4,5,2016,17,3,11,11,2015,1,True,138,35,102.84
606,Tom Ward,9523789,296,"A 40 page Victorian, penny dreadful, pulp horror, one-shot comic. Based on a true story from Treves' journals.",False,250,Comic Books,3.0,comics,GB,GBP,3500.0,True,True,successful,7712.78264069,international,1,21,4,3,9,2015,23,7,18,10,2015,19,3,11,3,2015,1,True,176,45,220.36521830542858
